Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
89,Chris Webber,31,PHI,PF,21,21,702,0.391,12.2,0.959,0.194,0.175,0.158,0.432,0.041,0.396,0.549,0.344,0.276,0.392,0.267,0.698,0.75,0.049,18,0.067,1,0,0,,webbech01
90,Michael Finley,31,DAL,SG,64,64,2358,0.427,17,0.686,0.079,0.103,0.185,0.319,0.314,0.436,0.556,0.452,0.423,0.408,0.407,0.524,0.879,0.011,10,0.288,0.439,3,0,,finlemi01
91,Larry Hughes,26,WAS,SG,61,61,2358,0.43,13,0.808,0.249,0.15,0.13,0.279,0.192,0.465,0.678,0.288,0.376,0.413,0.282,0.365,0.746,0.053,54,0.172,0.333,0,0,DPOY-6,hughela01
92,Grant Hill,32,ORL,SF,67,67,2338,0.509,11.2,0.987,0.269,0.092,0.282,0.345,0.013,0.513,0.674,0.409,0.469,0.451,0.231,0.508,1,0.024,23,0.308,0.25,1,0,AS,hillgr01
93,Lamar Odom,25,LAL,PF,64,64,2320,0.473,8.4,0.849,0.46,0.209,0.08,0.099,0.151,0.502,0.576,0.42,0.403,0.416,0.308,0.43,0.889,0.045,35,0.145,0.235,3,0,,odomla01
94,Mehmet Okur,25,UTA,C,82,25,2304,0.468,9.8,0.917,0.374,0.147,0.153,0.242,0.083,0.486,0.572,0.369,0.44,0.454,0.27,0.561,0.941,0.048,36,0.048,0,1,0,6MOY-11,okurme01
95,Lorenzen Wright,29,MEM,C,80,77,2287,0.469,7.1,0.996,0.433,0.208,0.192,0.163,0.004,0.471,0.571,0.415,0.374,0.387,0,0.734,,0.097,61,0,,1,0,,wrighlo02
96,Mike Miller,24,MEM,SF,76,51,2278,0.505,16,0.578,0.265,0.042,0.026,0.245,0.422,0.558,0.64,0.375,0.35,0.521,0.433,0.575,0.95,0.022,15,0.152,0.449,0,0,,millemi01
97,Primož Brezec,25,CHA,C,72,72,2276,0.512,7.7,1,0.448,0.148,0.169,0.234,0,0.512,0.64,0.473,0.383,0.384,,0.643,,0.04,29,,,0,0,,brezepr01
98,Kenyon Martin,27,DEN,PF,70,67,2272,0.49,7.7,0.987,0.432,0.196,0.159,0.2,0.013,0.496,0.648,0.41,0.361,0.359,0,0.664,,0.198,163,0.25,0,3,0,,martike01
99,Fred Jones,25,IND,SG,77,14,2268,0.425,15,0.646,0.253,0.107,0.073,0.213,0.354,0.45,0.549,0.42,0.277,0.406,0.38,0.202,0.828,0.028,16,0.21,0.5,1,0,,jonesfr01
100,Joe Smith,29,MIL,PF,74,73,2265,0.514,9.4,0.998,0.348,0.138,0.213,0.3,0.002,0.515,0.639,0.419,0.455,0.457,0,0.749,,0.066,36,1,0,0,0,,smithjo02
101,Mo Williams,22,MIL,PG,80,80,2254,0.438,12.9,0.866,0.28,0.075,0.172,0.339,0.134,0.456,0.471,0.345,0.472,0.46,0.323,0.247,0.781,0,0,0.212,0.381,1,0,,willima01
102,Derek Fisher,30,GSW,PG,74,32,2222,0.393,18.4,0.615,0.101,0.082,0.065,0.367,0.385,0.407,0.526,0.29,0.286,0.422,0.371,0.397,0.833,0,0,0.333,0.381,2,0,,fishede01
103,Tim Duncan,28,SAS,PF,66,66,2203,0.496,8.2,0.991,0.286,0.346,0.203,0.155,0.009,0.498,0.674,0.421,0.42,0.444,0.333,0.506,1,0.062,56,0.111,1,0,0,MVP-4DPOY-4ASNBA1,duncati01
104,Raef LaFrentz,28,BOS,PF,80,80,2196,0.496,11.7,0.673,0.449,0.064,0.028,0.132,0.327,0.559,0.66,0.341,0.316,0.374,0.364,0.788,0.988,0.073,46,0.311,0.457,0,0,,lafrera01
105,Manu Ginóbili,27,SAS,SG,74,74,2193,0.471,11.5,0.669,0.369,0.165,0.069,0.065,0.331,0.517,0.615,0.457,0.37,0.275,0.376,0.433,0.907,0.028,22,0.349,0.378,1,0,DPOY-18AS,ginobma01
106,Tyson Chandler,22,CHI,C,80,10,2189,0.494,4.3,0.995,0.635,0.184,0.074,0.103,0.005,0.496,0.605,0.286,0.258,0.372,0,0.507,,0.136,53,0,,0,0,DPOY-186MOY-11,chandty01
107,Chris Duhon,22,CHI,PG,82,73,2177,0.352,16.3,0.457,0.254,0.107,0.033,0.064,0.543,0.35,0.379,0.346,0.313,0.258,0.355,0.372,0.926,0,0,0.143,0.395,1,0,,duhonch01
108,Kenny Thomas,27,2TM,PF,73,58,2167,0.47,11.9,0.994,0.284,0.115,0.092,0.502,0.006,0.472,0.55,0.444,0.292,0.467,0.2,0.694,1,0.052,38,0.4,0.5,0,0,,thomake01
109,Kenny Thomas,27,PHI,PF,47,43,1344,0.456,11.9,0.992,0.288,0.103,0.099,0.502,0.008,0.458,0.518,0.347,0.255,0.485,0.25,0.727,1,0.042,20,0.5,0.5,0,0,,thomake01
110,Kenny Thomas,27,SAC,PF,26,15,823,0.492,11.9,0.997,0.279,0.134,0.082,0.502,0.003,0.493,0.6,0.561,0.36,0.438,0,0.647,,0.069,18,0,,0,0,,thomake01
111,Earl Boykins,28,DEN,PG,82,5,2162,0.413,14.7,0.799,0.17,0.112,0.15,0.367,0.201,0.432,0.571,0.446,0.419,0.368,0.337,0.408,0.714,0,0,0.133,0.409,0,0,6MOY-3,boykiea01
112,Gerald Wallace,22,CHA,SF,70,68,2147,0.449,9.6,0.903,0.485,0.044,0.033,0.341,0.097,0.468,0.592,0.143,0.333,0.346,0.274,0.643,1,0.122,70,0.468,0.276,0,0,,wallage01
113,Mark Blount,29,BOS,C,82,57,2130,0.529,9,0.998,0.356,0.155,0.228,0.259,0.002,0.53,0.668,0.354,0.426,0.538,0,0.752,,0.06,36,1,0,0,0,,blounma01
114,Reggie Miller,39,IND,SG,66,66,2105,0.437,19.3,0.586,0.056,0.038,0.149,0.344,0.414,0.518,0.725,0.63,0.561,0.453,0.322,0.665,0.948,0.007,5,0.299,0.393,1,0,,millere01
115,Dan Dickau,26,2TM,PG,71,46,2090,0.405,17.2,0.676,0.225,0.095,0.091,0.265,0.324,0.432,0.465,0.361,0.406,0.44,0.347,0.33,0.588,0,0,0.229,0.411,0,0,,dickada01
116,Dan Dickau,26,DAL,PG,4,0,16,0.125,19.4,0.625,0,0.125,0.125,0.375,0.375,0,,0,0,0,0.333,,0,0,0,0,,0,0,,dickada01
