Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
51,Gail Goodrich,34,NOJ,SG,81,,2553,7.3,14.8,0.495,3.7,4.7,0.795,1.1,1.4,2.5,5.5,1.2,0.3,2.9,2.6,18.4,,goodrga01
52,Don Buse,27,PHO,PG,82,82,2547,4.1,8.8,0.458,1.6,1.9,0.824,0.8,2.7,3.5,5.5,2.6,0.2,1.8,2,9.7,,busedo01
53,George McGinnis,27,PHI,PF,78,76,2533,8.4,18,0.463,5.8,8.2,0.716,4,7.5,11.5,4.2,1.9,0.4,4.4,4.1,22.6,,mcginge01
54,Armond Hill,24,ATL,PG,82,82,2530,4.3,10.4,0.415,2.7,3.2,0.848,0.8,2.4,3.3,6.1,2.1,0.2,3.4,4.3,11.3,,hillar01
55,Norm Van Lier,30,CHI,PG,78,75,2524,2.9,6.8,0.419,2.5,3.3,0.751,1.2,2.8,4.1,7.6,2.1,0.1,2.9,4,8.2,,vanlino01
56,Earl Tatum,24,2TM,SG,82,,2522,7.3,15.5,0.469,2.2,2.8,0.781,1.1,3.1,4.2,4.2,2,0.6,2.6,3.7,16.7,,tatumea01
57,Earl Tatum,24,LAL,SG,25,,663,8.3,17,0.487,2.4,3.2,0.763,1.2,3.6,4.9,3.8,2,0.5,2.9,4.6,19.1,,tatumea01
58,Earl Tatum,24,IND,SG,57,,1859,6.9,15,0.462,2.1,2.7,0.788,1.1,2.9,4,4.4,2,0.6,2.5,3.3,15.9,,tatumea01
59,Campy Russell,26,CLE,SF,72,,2520,7.5,16.7,0.448,5,6.7,0.751,2.2,4.3,6.5,4,1.3,0.2,2.9,2.8,20,,russeca02
60,Henry Bibby,28,PHI,PG,82,82,2518,4.1,9.4,0.434,2.4,3.1,0.781,0.9,2.7,3.6,6.6,1.3,0.1,2.2,3,10.6,,bibbyhe01
61,Foots Walker,26,CLE,PG,81,,2496,4.1,9.2,0.448,2.3,3.2,0.719,1.1,3.1,4.2,6.5,2.5,0.3,2.6,3.1,10.6,,walkefo01
62,Paul Westphal,27,PHO,SG,80,,2481,11.7,22.8,0.516,5.7,7.1,0.813,0.6,1.8,2.4,6.3,2,0.4,4.1,2.4,29.2,MVP-6ASNBA2,westppa01
63,Billy Paultz,29,SAS,C,80,,2479,7.5,14.2,0.529,3.3,4.4,0.752,2.5,7.3,9.8,3.1,0.6,2.8,2.4,3.2,18.4,,paultbi01
64,Dwight Jones,25,HOU,PF,82,,2476,5,11.3,0.445,2.6,3.4,0.777,3.1,6.2,9.3,1.6,1.1,0.6,2.4,3.9,12.7,,jonesdw01
65,Charlie Scott,29,2TM,SG,79,,2473,6.3,14.5,0.438,2.8,3.8,0.746,0.9,2.7,3.6,5.5,1.6,0.2,3.5,3.7,15.5,,scottch01
66,Charlie Scott,29,BOS,SG,31,,1080,7,16.2,0.433,2.8,3.9,0.712,0.8,2.6,3.4,4.8,1.7,0.2,3.5,3.2,16.8,,scottch01
67,Charlie Scott,29,LAL,SG,48,,1393,5.8,13.2,0.442,2.8,3.7,0.775,1,2.8,3.8,6.1,1.5,0.3,3.4,4,14.5,,scottch01
68,Bobby Jones,26,DEN,PF,75,,2440,6.5,11.2,0.578,3.1,4.1,0.751,2.4,7,9.4,3.7,2,1.9,2.9,3.3,16.1,AS,jonesbo01
69,Julius Erving,27,PHI,SF,74,68,2429,9.1,18,0.502,4.5,5.4,0.845,2.7,4.5,7.1,4.1,2,1.4,3.5,3.1,22.6,MVP-10ASNBA1,ervinju01
70,Dan Roundfield,24,IND,PF,79,,2423,6.3,12.8,0.489,3.2,4.5,0.727,4.1,7.8,11.9,2.9,1.2,2.2,2.9,4.4,15.7,,roundda01
71,Dave Meyers,24,MIL,PF,80,,2416,6.4,14,0.461,4.7,6.5,0.722,2.1,5.9,8,3.6,1.3,0.7,3.2,3.6,17.6,,meyerda01
72,Sidney Wicks,28,BOS,PF,81,,2413,6.5,13.8,0.467,3.2,4.9,0.66,3.3,6.7,10,2.6,1,0.7,3.4,4.7,16.2,,wickssi01
73,George Johnson,29,NJN,C,81,,2411,4.3,10.8,0.395,2,2.8,0.719,3.7,8,11.6,1.7,1.2,4.1,3.3,5.1,10.5,,johnsge02
74,James Edwards,22,2TM,C,83,,2405,7.4,16.4,0.453,4.1,6.3,0.646,2.9,6.3,9.2,1.3,0.8,1.2,2.5,4.8,18.9,,edwarja01
75,James Edwards,22,LAL,C,25,,723,7.2,15.7,0.459,4,6.2,0.64,2.2,6.8,9,1.4,0.8,1.4,2.8,4.4,18.4,,edwarja01
76,James Edwards,22,IND,C,58,,1682,7.5,16.6,0.45,4.1,6.3,0.649,3.3,6,9.3,1.2,0.8,1.1,2.4,5,19.1,,edwarja01
77,Earl Monroe,33,NYK,SG,76,73,2369,8.4,17.1,0.495,3.7,4.4,0.832,0.7,2.1,2.8,5.5,0.9,0.3,2.7,2.9,20.6,,monroea01
