Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
551,Byron Mullens,20,OKC,PF,13,0,54,4.7,12.7,0.368,0,0,,4.7,12.7,0.368,0.368,0,0,,2,4.7,6.7,0.7,1.3,0,2.7,8.7,9.3,,mulleby01
552,Shavlik Randolph,26,2TM,PF,6,0,53,4.1,12.2,0.333,0,0,,4.1,12.2,0.333,0.333,1.4,1.4,1,4.8,4.8,9.5,0.7,0.7,0.7,2,6.1,9.5,,randosh01
553,Shavlik Randolph,26,MIA,PF,3,0,47,3.8,11.5,0.333,0,0,,3.8,11.5,0.333,0.333,0,0,,5.4,4.6,10,0,0.8,0.8,1.5,6.9,7.7,,randosh01
554,Shavlik Randolph,26,POR,PF,3,0,6,6,18,0.333,0,0,,6,18,0.333,0.333,12,12,1,0,6,6,6,0,0,6,0,24,,randosh01
555,Patrick O'Bryant,23,TOR,C,11,0,51,5.6,10.6,0.533,0,0.7,0,5.6,9.9,0.571,0.533,2.1,4.2,0.5,1.4,6.4,7.8,0.7,1.4,2.8,3.5,8.5,13.4,,obryapa01
556,Travis Diener,27,2TM,PG,9,0,51,1.4,7.1,0.2,0.7,4.9,0.143,0.7,2.1,0.333,0.25,0.7,2.8,0.25,0,2.1,2.1,5.6,2.8,0,0,1.4,4.2,,dienetr01
557,Travis Diener,27,IND,PG,4,0,25,1.4,8.6,0.167,1.4,7.2,0.2,0,1.4,0,0.25,0,2.9,0,0,2.9,2.9,5.8,4.3,0,0,1.4,4.3,,dienetr01
558,Travis Diener,27,POR,PG,5,0,26,1.4,5.5,0.25,0,2.8,0,1.4,2.8,0.5,0.25,1.4,2.8,0.5,0,1.4,1.4,5.5,1.4,0,0,1.4,4.2,,dienetr01
559,Mike James,34,WAS,PG,4,0,46,4.7,15.7,0.3,1.6,4.7,0.333,3.1,11,0.286,0.35,3.1,6.3,0.5,0.8,1.6,2.3,3.9,2.3,0,3.9,2.3,14.1,,jamesmi01
560,Brian Cook,29,HOU,PF,15,0,44,5.7,18.8,0.304,1.6,7.4,0.222,4.1,11.5,0.357,0.348,4.1,5.7,0.714,0.8,6.5,7.4,0.8,0,1.6,4.9,4.1,17.2,,cookbr01
561,Marcus Haislip,29,SAS,SF,10,0,44,8.2,17.2,0.476,2.5,4.1,0.6,5.7,13.1,0.438,0.548,1.6,4.1,0.4,3.3,4.9,8.2,0,0,1.6,2.5,4.1,20.5,,haislma01
562,Yakhouba Diawara,27,MIA,SG,6,2,44,1.6,8.2,0.2,0.8,4.9,0.167,0.8,3.3,0.25,0.25,0,0,,0.8,2.5,3.3,2.5,0.8,0,2.5,6.5,4.1,,diawaya01
563,Patty Mills,21,POR,PG,10,0,38,9.5,22.7,0.417,1.9,3.8,0.5,7.6,18.9,0.4,0.458,3.8,6.6,0.571,0.9,0.9,1.9,4.7,0,0,3.8,5.7,24.6,,millspa02
564,Will Conroy,27,HOU,PG,5,0,36,3,10,0.3,0,3,0,3,7,0.429,0.3,0,2,0,0,3,3,7,0,0,4,5,6,,conrowi01
565,Othello Hunter,23,ATL,SF,7,0,33,4.4,13.1,0.333,0,0,,4.4,13.1,0.333,0.333,3.3,4.4,0.75,6.5,6.5,13.1,0,0,1.1,3.3,5.5,12,,hunteot01
566,Taylor Griffin,23,PHO,SF,8,0,32,4.5,11.3,0.4,0,2.3,0,4.5,9,0.5,0.4,2.3,4.5,0.5,0,2.3,2.3,1.1,0,2.3,1.1,4.5,11.3,,griffta01
567,Alexis Ajinça,21,CHA,C,6,0,30,6,12,0.5,0,0,,6,12,0.5,0.5,0,1.2,0,1.2,3.6,4.8,0,1.2,1.2,2.4,6,12,,ajincal01
568,Joe Alexander,23,CHI,SF,8,0,29,1.2,7.4,0.167,0,1.2,0,1.2,6.2,0.2,0.167,2.5,3.7,0.667,2.5,3.7,6.2,2.5,1.2,1.2,0,11.2,5,,alexajo01
569,Oliver Lafayette,25,BOS,SG,1,0,22,4.9,9.8,0.5,1.6,3.3,0.5,3.3,6.5,0.5,0.583,0,0,,1.6,4.9,6.5,3.3,0,0,1.6,0,11.5,,lafayol01
570,Jason Hart,31,2TM,PG,5,0,22,1.6,3.3,0.5,0,0,,1.6,3.3,0.5,0.5,0,0,,0,3.3,3.3,9.8,3.3,1.6,4.9,6.5,3.3,,hartja01
571,Jason Hart,31,MIN,PG,1,0,5,0,7.2,0,0,0,,0,7.2,0,0,0,0,,0,0,0,7.2,7.2,0,0,0,0,,hartja01
572,Jason Hart,31,NOH,PG,4,0,17,2.1,2.1,1,0,0,,2.1,2.1,1,1,0,0,,0,4.2,4.2,10.6,2.1,2.1,6.4,8.5,4.2,,hartja01
573,Antonio Anderson,24,OKC,SF,1,0,15,2.4,7.2,0.333,0,0,,2.4,7.2,0.333,0.333,0,0,,2.4,0,2.4,0,0,0,2.4,2.4,4.8,,anderan02
574,Paul Davis,25,WAS,PF,2,0,8,9,18,0.5,0,0,,9,18,0.5,0.5,4.5,9,0.5,0,0,0,13.5,0,4.5,0,0,22.5,,davispa01
575,Ryan Bowen,34,OKC,SF,1,0,8,4.5,4.5,1,0,0,,4.5,4.5,1,1,9,9,1,4.5,4.5,9,0,4.5,0,0,9,18,,bowenry01
576,Dwayne Jones,26,PHO,PF,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,10.3,10.3,0,0,0,0,5.1,0,,jonesdw02
577,Trey Gilder,25,MEM,SF,2,0,5,7.2,7.2,1,0,0,,7.2,7.2,1,1,0,0,,0,7.2,7.2,0,7.2,0,0,0,14.4,,gildetr01
